date,nav,scheme_code,scheme_name,fund_house
13-02-2026,92.62010,106235,Nippon India Large Cap Fund,Nippon India Mutual Fund
12-02-2026,93.67260,106235,Nippon India Large Cap Fund,Nippon India Mutual Fund
11-02-2026,94.16580,106235,Nippon India Large Cap Fund,Nippon India Mutual Fund
10-02-2026,94.00260,106235,Nippon India Large Cap Fund,Nippon India Mutual Fund
09-02-2026,93.59650,106235,Nippon India Large Cap Fund,Nippon India Mutual Fund
06-02-2026,92.72890,106235,Nippon India Large Cap Fund,Nippon India Mutual Fund
05-02-2026,92.58700,106235,Nippon India Large Cap Fund,Nippon India Mutual Fund
04-02-2026,92.87230,106235,Nippon India Large Cap Fund,Nippon India Mutual Fund
03-02-2026,92.67570,106235,Nippon India Large Cap Fund,Nippon India Mutual Fund
02-02-2026,90.35030,106235,Nippon India Large Cap Fund,Nippon India Mutual Fund
30-01-2026,91.23980,106235,Nippon India Large Cap Fund,Nippon India Mutual Fund
29-01-2026,91.38410,106235,Nippon India Large Cap Fund,Nippon India Mutual Fund
28-01-2026,90.89240,106235,Nippon India Large Cap Fund,Nippon India Mutual Fund
27-01-2026,90.04970,106235,Nippon India Large Cap Fund,Nippon India Mutual Fund
23-01-2026,89.71640,106235,Nippon India Large Cap Fund,Nippon India Mutual Fund
22-01-2026,90.63480,106235,Nippon India Large Cap Fund,Nippon India Mutual Fund
21-01-2026,90.06290,106235,Nippon India Large Cap Fund,Nippon India Mutual Fund
20-01-2026,90.41700,106235,Nippon India Large Cap Fund,Nippon India Mutual Fund
19-01-2026,91.87570,106235,Nippon India Large Cap Fund,Nippon India Mutual Fund
16-01-2026,92.14170,106235,Nippon India Large Cap Fund,Nippon India Mutual Fund
14-01-2026,92.23870,106235,Nippon India Large Cap Fund,Nippon India Mutual Fund
13-01-2026,92.29070,106235,Nippon India Large Cap Fund,Nippon India Mutual Fund
12-01-2026,92.51440,106235,Nippon India Large Cap Fund,Nippon India Mutual Fund
09-01-2026,92.38100,106235,Nippon India Large Cap Fund,Nippon India Mutual Fund
08-01-2026,93.15740,106235,Nippon India Large Cap Fund,Nippon India Mutual Fund
07-01-2026,94.29810,106235,Nippon India Large Cap Fund,Nippon India Mutual Fund
06-01-2026,94.38300,106235,Nippon India Large Cap Fund,Nippon India Mutual Fund
05-01-2026,94.39440,106235,Nippon India Large Cap Fund,Nippon India Mutual Fund
02-01-2026,94.77260,106235,Nippon India Large Cap Fund,Nippon India Mutual Fund
01-01-2026,94.12530,106235,Nippon India Large Cap Fund,Nippon India Mutual Fund
31-12-2025,94.07560,106235,Nippon India Large Cap Fund,Nippon India Mutual Fund
30-12-2025,93.40920,106235,Nippon India Large Cap Fund,Nippon India Mutual Fund
29-12-2025,93.52330,106235,Nippon India Large Cap Fund,Nippon India Mutual Fund
26-12-2025,93.77280,106235,Nippon India Large Cap Fund,Nippon India Mutual Fund
24-12-2025,94.10180,106235,Nippon India Large Cap Fund,Nippon India Mutual Fund
23-12-2025,94.26760,106235,Nippon India Large Cap Fund,Nippon India Mutual Fund
22-12-2025,94.09100,106235,Nippon India Large Cap Fund,Nippon India Mutual Fund
19-12-2025,93.57160,106235,Nippon India Large Cap Fund,Nippon India Mutual Fund
18-12-2025,92.96480,106235,Nippon India Large Cap Fund,Nippon India Mutual Fund
17-12-2025,93.07770,106235,Nippon India Large Cap Fund,Nippon India Mutual Fund
16-12-2025,93.33560,106235,Nippon India Large Cap Fund,Nippon India Mutual Fund
15-12-2025,93.96660,106235,Nippon India Large Cap Fund,Nippon India Mutual Fund
12-12-2025,94.05480,106235,Nippon India Large Cap Fund,Nippon India Mutual Fund
11-12-2025,93.50760,106235,Nippon India Large Cap Fund,Nippon India Mutual Fund
10-12-2025,92.93340,106235,Nippon India Large Cap Fund,Nippon India Mutual Fund
