date,nav,scheme_code,scheme_name,fund_house
13-02-2026,78.83900,108799,Bandhan Large Cap Fund,Bandhan Mutual Fund
12-02-2026,79.93100,108799,Bandhan Large Cap Fund,Bandhan Mutual Fund
11-02-2026,80.42000,108799,Bandhan Large Cap Fund,Bandhan Mutual Fund
10-02-2026,80.17400,108799,Bandhan Large Cap Fund,Bandhan Mutual Fund
09-02-2026,79.80900,108799,Bandhan Large Cap Fund,Bandhan Mutual Fund
06-02-2026,78.89600,108799,Bandhan Large Cap Fund,Bandhan Mutual Fund
05-02-2026,78.88300,108799,Bandhan Large Cap Fund,Bandhan Mutual Fund
04-02-2026,79.39600,108799,Bandhan Large Cap Fund,Bandhan Mutual Fund
03-02-2026,79.17600,108799,Bandhan Large Cap Fund,Bandhan Mutual Fund
02-02-2026,77.21700,108799,Bandhan Large Cap Fund,Bandhan Mutual Fund
31-01-2026,77.83700,108799,Bandhan Large Cap Fund,Bandhan Mutual Fund
30-01-2026,77.84100,108799,Bandhan Large Cap Fund,Bandhan Mutual Fund
29-01-2026,78.11100,108799,Bandhan Large Cap Fund,Bandhan Mutual Fund
28-01-2026,77.83800,108799,Bandhan Large Cap Fund,Bandhan Mutual Fund
27-01-2026,77.23200,108799,Bandhan Large Cap Fund,Bandhan Mutual Fund
23-01-2026,76.68900,108799,Bandhan Large Cap Fund,Bandhan Mutual Fund
22-01-2026,77.72300,108799,Bandhan Large Cap Fund,Bandhan Mutual Fund
21-01-2026,77.25000,108799,Bandhan Large Cap Fund,Bandhan Mutual Fund
20-01-2026,77.60000,108799,Bandhan Large Cap Fund,Bandhan Mutual Fund
19-01-2026,78.90000,108799,Bandhan Large Cap Fund,Bandhan Mutual Fund
16-01-2026,79.48900,108799,Bandhan Large Cap Fund,Bandhan Mutual Fund
14-01-2026,79.35700,108799,Bandhan Large Cap Fund,Bandhan Mutual Fund
13-01-2026,79.23400,108799,Bandhan Large Cap Fund,Bandhan Mutual Fund
12-01-2026,79.22500,108799,Bandhan Large Cap Fund,Bandhan Mutual Fund
09-01-2026,79.20400,108799,Bandhan Large Cap Fund,Bandhan Mutual Fund
08-01-2026,79.99300,108799,Bandhan Large Cap Fund,Bandhan Mutual Fund
07-01-2026,81.01700,108799,Bandhan Large Cap Fund,Bandhan Mutual Fund
06-01-2026,80.94600,108799,Bandhan Large Cap Fund,Bandhan Mutual Fund
05-01-2026,81.02300,108799,Bandhan Large Cap Fund,Bandhan Mutual Fund
02-01-2026,81.23700,108799,Bandhan Large Cap Fund,Bandhan Mutual Fund
01-01-2026,80.52800,108799,Bandhan Large Cap Fund,Bandhan Mutual Fund
31-12-2025,80.35000,108799,Bandhan Large Cap Fund,Bandhan Mutual Fund
30-12-2025,79.69800,108799,Bandhan Large Cap Fund,Bandhan Mutual Fund
29-12-2025,79.70400,108799,Bandhan Large Cap Fund,Bandhan Mutual Fund
26-12-2025,80.01300,108799,Bandhan Large Cap Fund,Bandhan Mutual Fund
24-12-2025,80.27500,108799,Bandhan Large Cap Fund,Bandhan Mutual Fund
23-12-2025,80.44600,108799,Bandhan Large Cap Fund,Bandhan Mutual Fund
22-12-2025,80.44500,108799,Bandhan Large Cap Fund,Bandhan Mutual Fund
19-12-2025,79.79500,108799,Bandhan Large Cap Fund,Bandhan Mutual Fund
18-12-2025,79.18500,108799,Bandhan Large Cap Fund,Bandhan Mutual Fund
17-12-2025,79.19800,108799,Bandhan Large Cap Fund,Bandhan Mutual Fund
16-12-2025,79.53700,108799,Bandhan Large Cap Fund,Bandhan Mutual Fund
15-12-2025,80.12200,108799,Bandhan Large Cap Fund,Bandhan Mutual Fund
12-12-2025,80.15900,108799,Bandhan Large Cap Fund,Bandhan Mutual Fund
11-12-2025,79.61400,108799,Bandhan Large Cap Fund,Bandhan Mutual Fund
10-12-2025,79.07000,108799,Bandhan Large Cap Fund,Bandhan Mutual Fund
09-12-2025,79.44600,108799,Bandhan Large Cap Fund,Bandhan Mutual Fund
08-12-2025,79.48200,108799,Bandhan Large Cap Fund,Bandhan Mutual Fund
05-12-2025,80.45700,108799,Bandhan Large Cap Fund,Bandhan Mutual Fund
04-12-2025,80.14700,108799,Bandhan Large Cap Fund,Bandhan Mutual Fund
03-12-2025,80.10000,108799,Bandhan Large Cap Fund,Bandhan Mutual Fund
02-12-2025,80.34200,108799,Bandhan Large Cap Fund,Bandhan Mutual Fund
01-12-2025,80.71000,108799,Bandhan Large Cap Fund,Bandhan Mutual Fund
30-11-2025,80.77000,108799,Bandhan Large Cap Fund,Bandhan Mutual Fund
28-11-2025,80.77900,108799,Bandhan Large Cap Fund,Bandhan Mutual Fund
27-11-2025,80.70100,108799,Bandhan Large Cap Fund,Bandhan Mutual Fund
26-11-2025,80.72500,108799,Bandhan Large Cap Fund,Bandhan Mutual Fund
25-11-2025,79.58400,108799,Bandhan Large Cap Fund,Bandhan Mutual Fund
24-11-2025,79.57100,108799,Bandhan Large Cap Fund,Bandhan Mutual Fund
21-11-2025,79.97500,108799,Bandhan Large Cap Fund,Bandhan Mutual Fund
20-11-2025,80.55200,108799,Bandhan Large Cap Fund,Bandhan Mutual Fund
19-11-2025,80.19500,108799,Bandhan Large Cap Fund,Bandhan Mutual Fund
18-11-2025,79.83400,108799,Bandhan Large Cap Fund,Bandhan Mutual Fund
17-11-2025,80.31100,108799,Bandhan Large Cap Fund,Bandhan Mutual Fund
14-11-2025,79.93900,108799,Bandhan Large Cap Fund,Bandhan Mutual Fund
13-11-2025,79.90500,108799,Bandhan Large Cap Fund,Bandhan Mutual Fund
12-11-2025,79.93100,108799,Bandhan Large Cap Fund,Bandhan Mutual Fund
11-11-2025,79.64900,108799,Bandhan Large Cap Fund,Bandhan Mutual Fund
10-11-2025,79.19200,108799,Bandhan Large Cap Fund,Bandhan Mutual Fund
07-11-2025,79.07000,108799,Bandhan Large Cap Fund,Bandhan Mutual Fund
06-11-2025,79.10400,108799,Bandhan Large Cap Fund,Bandhan Mutual Fund
04-11-2025,79.54300,108799,Bandhan Large Cap Fund,Bandhan Mutual Fund
03-11-2025,80.08000,108799,Bandhan Large Cap Fund,Bandhan Mutual Fund
31-10-2025,79.76800,108799,Bandhan Large Cap Fund,Bandhan Mutual Fund
30-10-2025,80.39700,108799,Bandhan Large Cap Fund,Bandhan Mutual Fund
29-10-2025,80.86600,108799,Bandhan Large Cap Fund,Bandhan Mutual Fund
28-10-2025,80.33400,108799,Bandhan Large Cap Fund,Bandhan Mutual Fund
27-10-2025,80.41400,108799,Bandhan Large Cap Fund,Bandhan Mutual Fund
24-10-2025,79.74200,108799,Bandhan Large Cap Fund,Bandhan Mutual Fund
23-10-2025,79.97500,108799,Bandhan Large Cap Fund,Bandhan Mutual Fund
20-10-2025,79.95900,108799,Bandhan Large Cap Fund,Bandhan Mutual Fund
17-10-2025,79.66500,108799,Bandhan Large Cap Fund,Bandhan Mutual Fund
16-10-2025,79.35100,108799,Bandhan Large Cap Fund,Bandhan Mutual Fund
15-10-2025,78.68500,108799,Bandhan Large Cap Fund,Bandhan Mutual Fund
14-10-2025,78.05400,108799,Bandhan Large Cap Fund,Bandhan Mutual Fund
13-10-2025,78.27000,108799,Bandhan Large Cap Fund,Bandhan Mutual Fund
10-10-2025,78.16700,108799,Bandhan Large Cap Fund,Bandhan Mutual Fund
09-10-2025,77.87300,108799,Bandhan Large Cap Fund,Bandhan Mutual Fund
08-10-2025,77.41000,108799,Bandhan Large Cap Fund,Bandhan Mutual Fund
07-10-2025,77.69600,108799,Bandhan Large Cap Fund,Bandhan Mutual Fund
06-10-2025,77.51300,108799,Bandhan Large Cap Fund,Bandhan Mutual Fund
03-10-2025,76.92000,108799,Bandhan Large Cap Fund,Bandhan Mutual Fund
01-10-2025,76.69700,108799,Bandhan Large Cap Fund,Bandhan Mutual Fund
30-09-2025,76.00500,108799,Bandhan Large Cap Fund,Bandhan Mutual Fund
26-09-2025,75.99600,108799,Bandhan Large Cap Fund,Bandhan Mutual Fund
25-09-2025,76.97200,108799,Bandhan Large Cap Fund,Bandhan Mutual Fund
24-09-2025,77.53200,108799,Bandhan Large Cap Fund,Bandhan Mutual Fund
23-09-2025,77.99700,108799,Bandhan Large Cap Fund,Bandhan Mutual Fund
22-09-2025,78.21800,108799,Bandhan Large Cap Fund,Bandhan Mutual Fund
19-09-2025,78.61900,108799,Bandhan Large Cap Fund,Bandhan Mutual Fund
18-09-2025,78.76800,108799,Bandhan Large Cap Fund,Bandhan Mutual Fund
17-09-2025,78.36200,108799,Bandhan Large Cap Fund,Bandhan Mutual Fund
16-09-2025,78.07500,108799,Bandhan Large Cap Fund,Bandhan Mutual Fund
15-09-2025,77.50000,108799,Bandhan Large Cap Fund,Bandhan Mutual Fund
12-09-2025,77.45200,108799,Bandhan Large Cap Fund,Bandhan Mutual Fund
11-09-2025,77.23100,108799,Bandhan Large Cap Fund,Bandhan Mutual Fund
10-09-2025,77.14700,108799,Bandhan Large Cap Fund,Bandhan Mutual Fund
09-09-2025,76.81200,108799,Bandhan Large Cap Fund,Bandhan Mutual Fund
08-09-2025,76.66100,108799,Bandhan Large Cap Fund,Bandhan Mutual Fund
05-09-2025,76.57500,108799,Bandhan Large Cap Fund,Bandhan Mutual Fund
04-09-2025,76.57700,108799,Bandhan Large Cap Fund,Bandhan Mutual Fund
03-09-2025,76.71200,108799,Bandhan Large Cap Fund,Bandhan Mutual Fund
02-09-2025,76.24400,108799,Bandhan Large Cap Fund,Bandhan Mutual Fund
01-09-2025,76.31700,108799,Bandhan Large Cap Fund,Bandhan Mutual Fund
31-08-2025,75.52900,108799,Bandhan Large Cap Fund,Bandhan Mutual Fund
29-08-2025,75.53700,108799,Bandhan Large Cap Fund,Bandhan Mutual Fund
28-08-2025,75.92900,108799,Bandhan Large Cap Fund,Bandhan Mutual Fund
26-08-2025,76.68500,108799,Bandhan Large Cap Fund,Bandhan Mutual Fund
25-08-2025,77.67200,108799,Bandhan Large Cap Fund,Bandhan Mutual Fund
22-08-2025,77.42500,108799,Bandhan Large Cap Fund,Bandhan Mutual Fund
21-08-2025,77.80700,108799,Bandhan Large Cap Fund,Bandhan Mutual Fund
20-08-2025,77.74200,108799,Bandhan Large Cap Fund,Bandhan Mutual Fund
19-08-2025,77.39700,108799,Bandhan Large Cap Fund,Bandhan Mutual Fund
18-08-2025,76.99300,108799,Bandhan Large Cap Fund,Bandhan Mutual Fund
14-08-2025,76.33400,108799,Bandhan Large Cap Fund,Bandhan Mutual Fund
13-08-2025,76.30400,108799,Bandhan Large Cap Fund,Bandhan Mutual Fund
12-08-2025,75.83500,108799,Bandhan Large Cap Fund,Bandhan Mutual Fund
11-08-2025,75.95700,108799,Bandhan Large Cap Fund,Bandhan Mutual Fund
08-08-2025,75.17500,108799,Bandhan Large Cap Fund,Bandhan Mutual Fund
07-08-2025,75.96900,108799,Bandhan Large Cap Fund,Bandhan Mutual Fund
06-08-2025,75.87900,108799,Bandhan Large Cap Fund,Bandhan Mutual Fund
05-08-2025,76.25300,108799,Bandhan Large Cap Fund,Bandhan Mutual Fund
04-08-2025,76.52000,108799,Bandhan Large Cap Fund,Bandhan Mutual Fund
01-08-2025,76.04400,108799,Bandhan Large Cap Fund,Bandhan Mutual Fund
31-07-2025,76.81300,108799,Bandhan Large Cap Fund,Bandhan Mutual Fund
30-07-2025,77.10900,108799,Bandhan Large Cap Fund,Bandhan Mutual Fund
29-07-2025,76.76300,108799,Bandhan Large Cap Fund,Bandhan Mutual Fund
28-07-2025,76.28400,108799,Bandhan Large Cap Fund,Bandhan Mutual Fund
25-07-2025,76.51600,108799,Bandhan Large Cap Fund,Bandhan Mutual Fund
24-07-2025,77.32500,108799,Bandhan Large Cap Fund,Bandhan Mutual Fund
