date,nav,scheme_code,scheme_name,fund_house
19-04-2022,10.00000,145337,UTI Fixed Term Income Fund Series XXX-IX (1266 Days) - Regular Plan - Annual IDCW,UTI Mutual Fund
18-04-2022,10.18290,145337,UTI Fixed Term Income Fund Series XXX-IX (1266 Days) - Regular Plan - Annual IDCW,UTI Mutual Fund
13-04-2022,10.17850,145337,UTI Fixed Term Income Fund Series XXX-IX (1266 Days) - Regular Plan - Annual IDCW,UTI Mutual Fund
12-04-2022,10.17770,145337,UTI Fixed Term Income Fund Series XXX-IX (1266 Days) - Regular Plan - Annual IDCW,UTI Mutual Fund
11-04-2022,10.17690,145337,UTI Fixed Term Income Fund Series XXX-IX (1266 Days) - Regular Plan - Annual IDCW,UTI Mutual Fund
08-04-2022,10.17440,145337,UTI Fixed Term Income Fund Series XXX-IX (1266 Days) - Regular Plan - Annual IDCW,UTI Mutual Fund
07-04-2022,10.17370,145337,UTI Fixed Term Income Fund Series XXX-IX (1266 Days) - Regular Plan - Annual IDCW,UTI Mutual Fund
06-04-2022,10.17280,145337,UTI Fixed Term Income Fund Series XXX-IX (1266 Days) - Regular Plan - Annual IDCW,UTI Mutual Fund
05-04-2022,10.17200,145337,UTI Fixed Term Income Fund Series XXX-IX (1266 Days) - Regular Plan - Annual IDCW,UTI Mutual Fund
04-04-2022,10.17110,145337,UTI Fixed Term Income Fund Series XXX-IX (1266 Days) - Regular Plan - Annual IDCW,UTI Mutual Fund
31-03-2022,10.16750,145337,UTI Fixed Term Income Fund Series XXX-IX (1266 Days) - Regular Plan - Annual IDCW,UTI Mutual Fund
30-03-2022,10.16650,145337,UTI Fixed Term Income Fund Series XXX-IX (1266 Days) - Regular Plan - Annual IDCW,UTI Mutual Fund
29-03-2022,10.16560,145337,UTI Fixed Term Income Fund Series XXX-IX (1266 Days) - Regular Plan - Annual IDCW,UTI Mutual Fund
28-03-2022,10.16480,145337,UTI Fixed Term Income Fund Series XXX-IX (1266 Days) - Regular Plan - Annual IDCW,UTI Mutual Fund
25-03-2022,10.16220,145337,UTI Fixed Term Income Fund Series XXX-IX (1266 Days) - Regular Plan - Annual IDCW,UTI Mutual Fund
24-03-2022,10.16130,145337,UTI Fixed Term Income Fund Series XXX-IX (1266 Days) - Regular Plan - Annual IDCW,UTI Mutual Fund
23-03-2022,10.16040,145337,UTI Fixed Term Income Fund Series XXX-IX (1266 Days) - Regular Plan - Annual IDCW,UTI Mutual Fund
22-03-2022,10.15950,145337,UTI Fixed Term Income Fund Series XXX-IX (1266 Days) - Regular Plan - Annual IDCW,UTI Mutual Fund
21-03-2022,10.15870,145337,UTI Fixed Term Income Fund Series XXX-IX (1266 Days) - Regular Plan - Annual IDCW,UTI Mutual Fund
17-03-2022,10.15500,145337,UTI Fixed Term Income Fund Series XXX-IX (1266 Days) - Regular Plan - Annual IDCW,UTI Mutual Fund
16-03-2022,10.15410,145337,UTI Fixed Term Income Fund Series XXX-IX (1266 Days) - Regular Plan - Annual IDCW,UTI Mutual Fund
15-03-2022,10.15320,145337,UTI Fixed Term Income Fund Series XXX-IX (1266 Days) - Regular Plan - Annual IDCW,UTI Mutual Fund
14-03-2022,11.40850,145337,UTI Fixed Term Income Fund Series XXX-IX (1266 Days) - Regular Plan - Annual IDCW,UTI Mutual Fund
11-03-2022,11.40550,145337,UTI Fixed Term Income Fund Series XXX-IX (1266 Days) - Regular Plan - Annual IDCW,UTI Mutual Fund
10-03-2022,11.40450,145337,UTI Fixed Term Income Fund Series XXX-IX (1266 Days) - Regular Plan - Annual IDCW,UTI Mutual Fund
09-03-2022,11.40350,145337,UTI Fixed Term Income Fund Series XXX-IX (1266 Days) - Regular Plan - Annual IDCW,UTI Mutual Fund
08-03-2022,11.40250,145337,UTI Fixed Term Income Fund Series XXX-IX (1266 Days) - Regular Plan - Annual IDCW,UTI Mutual Fund
07-03-2022,11.40110,145337,UTI Fixed Term Income Fund Series XXX-IX (1266 Days) - Regular Plan - Annual IDCW,UTI Mutual Fund
04-03-2022,11.39800,145337,UTI Fixed Term Income Fund Series XXX-IX (1266 Days) - Regular Plan - Annual IDCW,UTI Mutual Fund
03-03-2022,11.39690,145337,UTI Fixed Term Income Fund Series XXX-IX (1266 Days) - Regular Plan - Annual IDCW,UTI Mutual Fund
02-03-2022,11.39590,145337,UTI Fixed Term Income Fund Series XXX-IX (1266 Days) - Regular Plan - Annual IDCW,UTI Mutual Fund
28-02-2022,11.39400,145337,UTI Fixed Term Income Fund Series XXX-IX (1266 Days) - Regular Plan - Annual IDCW,UTI Mutual Fund
25-02-2022,11.39090,145337,UTI Fixed Term Income Fund Series XXX-IX (1266 Days) - Regular Plan - Annual IDCW,UTI Mutual Fund
24-02-2022,11.38980,145337,UTI Fixed Term Income Fund Series XXX-IX (1266 Days) - Regular Plan - Annual IDCW,UTI Mutual Fund
23-02-2022,11.38880,145337,UTI Fixed Term Income Fund Series XXX-IX (1266 Days) - Regular Plan - Annual IDCW,UTI Mutual Fund
22-02-2022,11.38760,145337,UTI Fixed Term Income Fund Series XXX-IX (1266 Days) - Regular Plan - Annual IDCW,UTI Mutual Fund
21-02-2022,11.38620,145337,UTI Fixed Term Income Fund Series XXX-IX (1266 Days) - Regular Plan - Annual IDCW,UTI Mutual Fund
18-02-2022,11.38200,145337,UTI Fixed Term Income Fund Series XXX-IX (1266 Days) - Regular Plan - Annual IDCW,UTI Mutual Fund
17-02-2022,11.38070,145337,UTI Fixed Term Income Fund Series XXX-IX (1266 Days) - Regular Plan - Annual IDCW,UTI Mutual Fund
16-02-2022,11.37920,145337,UTI Fixed Term Income Fund Series XXX-IX (1266 Days) - Regular Plan - Annual IDCW,UTI Mutual Fund
15-02-2022,11.37760,145337,UTI Fixed Term Income Fund Series XXX-IX (1266 Days) - Regular Plan - Annual IDCW,UTI Mutual Fund
14-02-2022,11.37600,145337,UTI Fixed Term Income Fund Series XXX-IX (1266 Days) - Regular Plan - Annual IDCW,UTI Mutual Fund
11-02-2022,11.37160,145337,UTI Fixed Term Income Fund Series XXX-IX (1266 Days) - Regular Plan - Annual IDCW,UTI Mutual Fund
10-02-2022,11.36980,145337,UTI Fixed Term Income Fund Series XXX-IX (1266 Days) - Regular Plan - Annual IDCW,UTI Mutual Fund
09-02-2022,11.36740,145337,UTI Fixed Term Income Fund Series XXX-IX (1266 Days) - Regular Plan - Annual IDCW,UTI Mutual Fund
08-02-2022,11.36590,145337,UTI Fixed Term Income Fund Series XXX-IX (1266 Days) - Regular Plan - Annual IDCW,UTI Mutual Fund
04-02-2022,11.35950,145337,UTI Fixed Term Income Fund Series XXX-IX (1266 Days) - Regular Plan - Annual IDCW,UTI Mutual Fund
03-02-2022,11.35800,145337,UTI Fixed Term Income Fund Series XXX-IX (1266 Days) - Regular Plan - Annual IDCW,UTI Mutual Fund
02-02-2022,11.35610,145337,UTI Fixed Term Income Fund Series XXX-IX (1266 Days) - Regular Plan - Annual IDCW,UTI Mutual Fund
01-02-2022,11.35560,145337,UTI Fixed Term Income Fund Series XXX-IX (1266 Days) - Regular Plan - Annual IDCW,UTI Mutual Fund
31-01-2022,11.35420,145337,UTI Fixed Term Income Fund Series XXX-IX (1266 Days) - Regular Plan - Annual IDCW,UTI Mutual Fund
28-01-2022,11.34930,145337,UTI Fixed Term Income Fund Series XXX-IX (1266 Days) - Regular Plan - Annual IDCW,UTI Mutual Fund
27-01-2022,11.34730,145337,UTI Fixed Term Income Fund Series XXX-IX (1266 Days) - Regular Plan - Annual IDCW,UTI Mutual Fund
25-01-2022,10.63550,145337,UTI Fixed Term Income Fund Series XXX-IX (1266 Days) - Regular Plan - Annual IDCW,UTI Mutual Fund
24-01-2022,10.63390,145337,UTI Fixed Term Income Fund Series XXX-IX (1266 Days) - Regular Plan - Annual IDCW,UTI Mutual Fund
21-01-2022,10.62940,145337,UTI Fixed Term Income Fund Series XXX-IX (1266 Days) - Regular Plan - Annual IDCW,UTI Mutual Fund
20-01-2022,10.62770,145337,UTI Fixed Term Income Fund Series XXX-IX (1266 Days) - Regular Plan - Annual IDCW,UTI Mutual Fund
19-01-2022,10.62630,145337,UTI Fixed Term Income Fund Series XXX-IX (1266 Days) - Regular Plan - Annual IDCW,UTI Mutual Fund
18-01-2022,10.62610,145337,UTI Fixed Term Income Fund Series XXX-IX (1266 Days) - Regular Plan - Annual IDCW,UTI Mutual Fund
17-01-2022,10.62510,145337,UTI Fixed Term Income Fund Series XXX-IX (1266 Days) - Regular Plan - Annual IDCW,UTI Mutual Fund
14-01-2022,10.62020,145337,UTI Fixed Term Income Fund Series XXX-IX (1266 Days) - Regular Plan - Annual IDCW,UTI Mutual Fund
13-01-2022,10.61800,145337,UTI Fixed Term Income Fund Series XXX-IX (1266 Days) - Regular Plan - Annual IDCW,UTI Mutual Fund
12-01-2022,10.61600,145337,UTI Fixed Term Income Fund Series XXX-IX (1266 Days) - Regular Plan - Annual IDCW,UTI Mutual Fund
11-01-2022,10.61390,145337,UTI Fixed Term Income Fund Series XXX-IX (1266 Days) - Regular Plan - Annual IDCW,UTI Mutual Fund
10-01-2022,10.61200,145337,UTI Fixed Term Income Fund Series XXX-IX (1266 Days) - Regular Plan - Annual IDCW,UTI Mutual Fund
07-01-2022,10.60700,145337,UTI Fixed Term Income Fund Series XXX-IX (1266 Days) - Regular Plan - Annual IDCW,UTI Mutual Fund
06-01-2022,10.60500,145337,UTI Fixed Term Income Fund Series XXX-IX (1266 Days) - Regular Plan - Annual IDCW,UTI Mutual Fund
05-01-2022,10.60290,145337,UTI Fixed Term Income Fund Series XXX-IX (1266 Days) - Regular Plan - Annual IDCW,UTI Mutual Fund
04-01-2022,10.60060,145337,UTI Fixed Term Income Fund Series XXX-IX (1266 Days) - Regular Plan - Annual IDCW,UTI Mutual Fund
03-01-2022,10.59850,145337,UTI Fixed Term Income Fund Series XXX-IX (1266 Days) - Regular Plan - Annual IDCW,UTI Mutual Fund
31-12-2021,10.59270,145337,UTI Fixed Term Income Fund Series XXX-IX (1266 Days) - Regular Plan - Annual IDCW,UTI Mutual Fund
30-12-2021,10.59020,145337,UTI Fixed Term Income Fund Series XXX-IX (1266 Days) - Regular Plan - Annual IDCW,UTI Mutual Fund
29-12-2021,10.58840,145337,UTI Fixed Term Income Fund Series XXX-IX (1266 Days) - Regular Plan - Annual IDCW,UTI Mutual Fund
28-12-2021,10.58600,145337,UTI Fixed Term Income Fund Series XXX-IX (1266 Days) - Regular Plan - Annual IDCW,UTI Mutual Fund
27-12-2021,10.58430,145337,UTI Fixed Term Income Fund Series XXX-IX (1266 Days) - Regular Plan - Annual IDCW,UTI Mutual Fund
