date,nav,scheme_code,scheme_name,fund_house
13-02-2026,39.62390,147622,Motilal Oswal Nifty Midcap 150 Index Fund - Direct Plan,Motilal Oswal Mutual Fund
12-02-2026,40.28950,147622,Motilal Oswal Nifty Midcap 150 Index Fund - Direct Plan,Motilal Oswal Mutual Fund
11-02-2026,40.49210,147622,Motilal Oswal Nifty Midcap 150 Index Fund - Direct Plan,Motilal Oswal Mutual Fund
10-02-2026,40.46450,147622,Motilal Oswal Nifty Midcap 150 Index Fund - Direct Plan,Motilal Oswal Mutual Fund
09-02-2026,40.29980,147622,Motilal Oswal Nifty Midcap 150 Index Fund - Direct Plan,Motilal Oswal Mutual Fund
06-02-2026,39.67390,147622,Motilal Oswal Nifty Midcap 150 Index Fund - Direct Plan,Motilal Oswal Mutual Fund
05-02-2026,39.67660,147622,Motilal Oswal Nifty Midcap 150 Index Fund - Direct Plan,Motilal Oswal Mutual Fund
04-02-2026,39.80210,147622,Motilal Oswal Nifty Midcap 150 Index Fund - Direct Plan,Motilal Oswal Mutual Fund
03-02-2026,39.56170,147622,Motilal Oswal Nifty Midcap 150 Index Fund - Direct Plan,Motilal Oswal Mutual Fund
02-02-2026,38.43960,147622,Motilal Oswal Nifty Midcap 150 Index Fund - Direct Plan,Motilal Oswal Mutual Fund
30-01-2026,38.87630,147622,Motilal Oswal Nifty Midcap 150 Index Fund - Direct Plan,Motilal Oswal Mutual Fund
29-01-2026,38.86010,147622,Motilal Oswal Nifty Midcap 150 Index Fund - Direct Plan,Motilal Oswal Mutual Fund
28-01-2026,38.81890,147622,Motilal Oswal Nifty Midcap 150 Index Fund - Direct Plan,Motilal Oswal Mutual Fund
27-01-2026,38.20020,147622,Motilal Oswal Nifty Midcap 150 Index Fund - Direct Plan,Motilal Oswal Mutual Fund
23-01-2026,37.99710,147622,Motilal Oswal Nifty Midcap 150 Index Fund - Direct Plan,Motilal Oswal Mutual Fund
22-01-2026,38.65840,147622,Motilal Oswal Nifty Midcap 150 Index Fund - Direct Plan,Motilal Oswal Mutual Fund
21-01-2026,38.19260,147622,Motilal Oswal Nifty Midcap 150 Index Fund - Direct Plan,Motilal Oswal Mutual Fund
20-01-2026,38.58390,147622,Motilal Oswal Nifty Midcap 150 Index Fund - Direct Plan,Motilal Oswal Mutual Fund
19-01-2026,39.56450,147622,Motilal Oswal Nifty Midcap 150 Index Fund - Direct Plan,Motilal Oswal Mutual Fund
16-01-2026,39.73960,147622,Motilal Oswal Nifty Midcap 150 Index Fund - Direct Plan,Motilal Oswal Mutual Fund
14-01-2026,39.72240,147622,Motilal Oswal Nifty Midcap 150 Index Fund - Direct Plan,Motilal Oswal Mutual Fund
13-01-2026,39.63800,147622,Motilal Oswal Nifty Midcap 150 Index Fund - Direct Plan,Motilal Oswal Mutual Fund
12-01-2026,39.69270,147622,Motilal Oswal Nifty Midcap 150 Index Fund - Direct Plan,Motilal Oswal Mutual Fund
09-01-2026,39.76020,147622,Motilal Oswal Nifty Midcap 150 Index Fund - Direct Plan,Motilal Oswal Mutual Fund
08-01-2026,40.11230,147622,Motilal Oswal Nifty Midcap 150 Index Fund - Direct Plan,Motilal Oswal Mutual Fund
07-01-2026,40.88260,147622,Motilal Oswal Nifty Midcap 150 Index Fund - Direct Plan,Motilal Oswal Mutual Fund
06-01-2026,40.70950,147622,Motilal Oswal Nifty Midcap 150 Index Fund - Direct Plan,Motilal Oswal Mutual Fund
05-01-2026,40.79070,147622,Motilal Oswal Nifty Midcap 150 Index Fund - Direct Plan,Motilal Oswal Mutual Fund
02-01-2026,40.83360,147622,Motilal Oswal Nifty Midcap 150 Index Fund - Direct Plan,Motilal Oswal Mutual Fund
01-01-2026,40.45440,147622,Motilal Oswal Nifty Midcap 150 Index Fund - Direct Plan,Motilal Oswal Mutual Fund
31-12-2025,40.28770,147622,Motilal Oswal Nifty Midcap 150 Index Fund - Direct Plan,Motilal Oswal Mutual Fund
30-12-2025,39.89870,147622,Motilal Oswal Nifty Midcap 150 Index Fund - Direct Plan,Motilal Oswal Mutual Fund
29-12-2025,39.97040,147622,Motilal Oswal Nifty Midcap 150 Index Fund - Direct Plan,Motilal Oswal Mutual Fund
26-12-2025,40.13320,147622,Motilal Oswal Nifty Midcap 150 Index Fund - Direct Plan,Motilal Oswal Mutual Fund
24-12-2025,40.23600,147622,Motilal Oswal Nifty Midcap 150 Index Fund - Direct Plan,Motilal Oswal Mutual Fund
23-12-2025,40.42830,147622,Motilal Oswal Nifty Midcap 150 Index Fund - Direct Plan,Motilal Oswal Mutual Fund
22-12-2025,40.38410,147622,Motilal Oswal Nifty Midcap 150 Index Fund - Direct Plan,Motilal Oswal Mutual Fund
19-12-2025,40.05400,147622,Motilal Oswal Nifty Midcap 150 Index Fund - Direct Plan,Motilal Oswal Mutual Fund
18-12-2025,39.59590,147622,Motilal Oswal Nifty Midcap 150 Index Fund - Direct Plan,Motilal Oswal Mutual Fund
17-12-2025,39.51230,147622,Motilal Oswal Nifty Midcap 150 Index Fund - Direct Plan,Motilal Oswal Mutual Fund
16-12-2025,39.72930,147622,Motilal Oswal Nifty Midcap 150 Index Fund - Direct Plan,Motilal Oswal Mutual Fund
15-12-2025,40.03830,147622,Motilal Oswal Nifty Midcap 150 Index Fund - Direct Plan,Motilal Oswal Mutual Fund
12-12-2025,40.06670,147622,Motilal Oswal Nifty Midcap 150 Index Fund - Direct Plan,Motilal Oswal Mutual Fund
11-12-2025,39.59870,147622,Motilal Oswal Nifty Midcap 150 Index Fund - Direct Plan,Motilal Oswal Mutual Fund
10-12-2025,39.26370,147622,Motilal Oswal Nifty Midcap 150 Index Fund - Direct Plan,Motilal Oswal Mutual Fund
09-12-2025,39.63140,147622,Motilal Oswal Nifty Midcap 150 Index Fund - Direct Plan,Motilal Oswal Mutual Fund
08-12-2025,39.48520,147622,Motilal Oswal Nifty Midcap 150 Index Fund - Direct Plan,Motilal Oswal Mutual Fund
05-12-2025,40.16590,147622,Motilal Oswal Nifty Midcap 150 Index Fund - Direct Plan,Motilal Oswal Mutual Fund
04-12-2025,40.00850,147622,Motilal Oswal Nifty Midcap 150 Index Fund - Direct Plan,Motilal Oswal Mutual Fund
03-12-2025,40.02580,147622,Motilal Oswal Nifty Midcap 150 Index Fund - Direct Plan,Motilal Oswal Mutual Fund
02-12-2025,40.38350,147622,Motilal Oswal Nifty Midcap 150 Index Fund - Direct Plan,Motilal Oswal Mutual Fund
01-12-2025,40.46410,147622,Motilal Oswal Nifty Midcap 150 Index Fund - Direct Plan,Motilal Oswal Mutual Fund
28-11-2025,40.50590,147622,Motilal Oswal Nifty Midcap 150 Index Fund - Direct Plan,Motilal Oswal Mutual Fund
27-11-2025,40.55060,147622,Motilal Oswal Nifty Midcap 150 Index Fund - Direct Plan,Motilal Oswal Mutual Fund
26-11-2025,40.54890,147622,Motilal Oswal Nifty Midcap 150 Index Fund - Direct Plan,Motilal Oswal Mutual Fund
25-11-2025,40.03750,147622,Motilal Oswal Nifty Midcap 150 Index Fund - Direct Plan,Motilal Oswal Mutual Fund
24-11-2025,39.93470,147622,Motilal Oswal Nifty Midcap 150 Index Fund - Direct Plan,Motilal Oswal Mutual Fund
21-11-2025,40.06470,147622,Motilal Oswal Nifty Midcap 150 Index Fund - Direct Plan,Motilal Oswal Mutual Fund
20-11-2025,40.52330,147622,Motilal Oswal Nifty Midcap 150 Index Fund - Direct Plan,Motilal Oswal Mutual Fund
19-11-2025,40.53680,147622,Motilal Oswal Nifty Midcap 150 Index Fund - Direct Plan,Motilal Oswal Mutual Fund
18-11-2025,40.40530,147622,Motilal Oswal Nifty Midcap 150 Index Fund - Direct Plan,Motilal Oswal Mutual Fund
