date,nav,scheme_code,scheme_name,fund_house
13-02-2026,785.96360,119065,HDFC BSE SENSEX Index Fund,HDFC Mutual Fund
12-02-2026,795.93300,119065,HDFC BSE SENSEX Index Fund,HDFC Mutual Fund
11-02-2026,801.24780,119065,HDFC BSE SENSEX Index Fund,HDFC Mutual Fund
10-02-2026,801.63510,119065,HDFC BSE SENSEX Index Fund,HDFC Mutual Fund
09-02-2026,799.66070,119065,HDFC BSE SENSEX Index Fund,HDFC Mutual Fund
06-02-2026,794.94250,119065,HDFC BSE SENSEX Index Fund,HDFC Mutual Fund
05-02-2026,792.30860,119065,HDFC BSE SENSEX Index Fund,HDFC Mutual Fund
04-02-2026,797.00840,119065,HDFC BSE SENSEX Index Fund,HDFC Mutual Fund
03-02-2026,796.26570,119065,HDFC BSE SENSEX Index Fund,HDFC Mutual Fund
02-02-2026,776.57560,119065,HDFC BSE SENSEX Index Fund,HDFC Mutual Fund
30-01-2026,782.32500,119065,HDFC BSE SENSEX Index Fund,HDFC Mutual Fund
29-01-2026,785.14890,119065,HDFC BSE SENSEX Index Fund,HDFC Mutual Fund
28-01-2026,783.04560,119065,HDFC BSE SENSEX Index Fund,HDFC Mutual Fund
27-01-2026,778.41850,119065,HDFC BSE SENSEX Index Fund,HDFC Mutual Fund
23-01-2026,775.39690,119065,HDFC BSE SENSEX Index Fund,HDFC Mutual Fund
22-01-2026,782.71730,119065,HDFC BSE SENSEX Index Fund,HDFC Mutual Fund
21-01-2026,778.94150,119065,HDFC BSE SENSEX Index Fund,HDFC Mutual Fund
20-01-2026,781.52120,119065,HDFC BSE SENSEX Index Fund,HDFC Mutual Fund
19-01-2026,791.65430,119065,HDFC BSE SENSEX Index Fund,HDFC Mutual Fund
16-01-2026,794.74670,119065,HDFC BSE SENSEX Index Fund,HDFC Mutual Fund
14-01-2026,792.78140,119065,HDFC BSE SENSEX Index Fund,HDFC Mutual Fund
13-01-2026,795.12350,119065,HDFC BSE SENSEX Index Fund,HDFC Mutual Fund
12-01-2026,797.50890,119065,HDFC BSE SENSEX Index Fund,HDFC Mutual Fund
09-01-2026,794.65160,119065,HDFC BSE SENSEX Index Fund,HDFC Mutual Fund
08-01-2026,800.40530,119065,HDFC BSE SENSEX Index Fund,HDFC Mutual Fund
07-01-2026,807.82780,119065,HDFC BSE SENSEX Index Fund,HDFC Mutual Fund
06-01-2026,808.80390,119065,HDFC BSE SENSEX Index Fund,HDFC Mutual Fund
05-01-2026,812.38540,119065,HDFC BSE SENSEX Index Fund,HDFC Mutual Fund
02-01-2026,815.46500,119065,HDFC BSE SENSEX Index Fund,HDFC Mutual Fund
01-01-2026,810.01670,119065,HDFC BSE SENSEX Index Fund,HDFC Mutual Fund
31-12-2025,810.32620,119065,HDFC BSE SENSEX Index Fund,HDFC Mutual Fund
30-12-2025,805.14270,119065,HDFC BSE SENSEX Index Fund,HDFC Mutual Fund
29-12-2025,805.34150,119065,HDFC BSE SENSEX Index Fund,HDFC Mutual Fund
26-12-2025,808.64350,119065,HDFC BSE SENSEX Index Fund,HDFC Mutual Fund
24-12-2025,812.14530,119065,HDFC BSE SENSEX Index Fund,HDFC Mutual Fund
23-12-2025,813.25520,119065,HDFC BSE SENSEX Index Fund,HDFC Mutual Fund
22-12-2025,813.66500,119065,HDFC BSE SENSEX Index Fund,HDFC Mutual Fund
19-12-2025,807.60910,119065,HDFC BSE SENSEX Index Fund,HDFC Mutual Fund
18-12-2025,803.39010,119065,HDFC BSE SENSEX Index Fund,HDFC Mutual Fund
17-12-2025,804.13480,119065,HDFC BSE SENSEX Index Fund,HDFC Mutual Fund
16-12-2025,805.28250,119065,HDFC BSE SENSEX Index Fund,HDFC Mutual Fund
15-12-2025,810.36010,119065,HDFC BSE SENSEX Index Fund,HDFC Mutual Fund
12-12-2025,810.89020,119065,HDFC BSE SENSEX Index Fund,HDFC Mutual Fund
11-12-2025,806.62110,119065,HDFC BSE SENSEX Index Fund,HDFC Mutual Fund
10-12-2025,802.56670,119065,HDFC BSE SENSEX Index Fund,HDFC Mutual Fund
09-12-2025,805.18640,119065,HDFC BSE SENSEX Index Fund,HDFC Mutual Fund
08-12-2025,809.34050,119065,HDFC BSE SENSEX Index Fund,HDFC Mutual Fund
05-12-2025,815.15080,119065,HDFC BSE SENSEX Index Fund,HDFC Mutual Fund
04-12-2025,810.90480,119065,HDFC BSE SENSEX Index Fund,HDFC Mutual Fund
03-12-2025,809.40190,119065,HDFC BSE SENSEX Index Fund,HDFC Mutual Fund
