date,nav,scheme_code
13-02-2026,223.49,118989
12-02-2026,226.103,118989
11-02-2026,227.177,118989
10-02-2026,226.936,118989
09-02-2026,226.725,118989
06-02-2026,223.961,118989
05-02-2026,224.598,118989
04-02-2026,224.742,118989
03-02-2026,224.323,118989
02-02-2026,218.917,118989
30-01-2026,221.441,118989
29-01-2026,220.054,118989
28-01-2026,219.869,118989
27-01-2026,217.845,118989
23-01-2026,217.297,118989
22-01-2026,220.498,118989
21-01-2026,218.092,118989
20-01-2026,218.895,118989
19-01-2026,222.776,118989
16-01-2026,223.518,118989
14-01-2026,222.23,118989
13-01-2026,221.659,118989
12-01-2026,221.703,118989
09-01-2026,222.322,118989
08-01-2026,223.692,118989
07-01-2026,226.959,118989
06-01-2026,226.631,118989
05-01-2026,226.659,118989
02-01-2026,226.581,118989
01-01-2026,225.02,118989
31-12-2025,224.745,118989
30-12-2025,222.385,118989
29-12-2025,222.41,118989
26-12-2025,222.776,118989
24-12-2025,223.507,118989
23-12-2025,224.885,118989
22-12-2025,225.488,118989
19-12-2025,224.13,118989
18-12-2025,222.128,118989
17-12-2025,222.001,118989
16-12-2025,222.449,118989
15-12-2025,223.775,118989
12-12-2025,223.398,118989
11-12-2025,221.622,118989
10-12-2025,221.139,118989
09-12-2025,222.55,118989
08-12-2025,221.483,118989
05-12-2025,224.68,118989
04-12-2025,224.265,118989
03-12-2025,224.194,118989
02-12-2025,225.889,118989
01-12-2025,225.84,118989
28-11-2025,226.069,118989
27-11-2025,226.082,118989
26-11-2025,226.261,118989
25-11-2025,224.146,118989
24-11-2025,223.442,118989
21-11-2025,223.281,118989
20-11-2025,225.649,118989
19-11-2025,225.472,118989
18-11-2025,224.791,118989
17-11-2025,226.08,118989
14-11-2025,224.345,118989
13-11-2025,224.351,118989
12-11-2025,224.607,118989
11-11-2025,222.608,118989
10-11-2025,222.303,118989
07-11-2025,221.567,118989
06-11-2025,221.161,118989
04-11-2025,223.506,118989
03-11-2025,223.347,118989
31-10-2025,221.524,118989
30-10-2025,222.577,118989
29-10-2025,222.518,118989
28-10-2025,221.825,118989
27-10-2025,221.623,118989
24-10-2025,219.563,118989
23-10-2025,220.415,118989
20-10-2025,220.059,118989
17-10-2025,217.991,118989
16-10-2025,218.556,118989
15-10-2025,218.098,118989
14-10-2025,216.044,118989
13-10-2025,216.977,118989
10-10-2025,217.337,118989
09-10-2025,216.544,118989
08-10-2025,215.6,118989
07-10-2025,215.969,118989
06-10-2025,215.389,118989
03-10-2025,213.642,118989
01-10-2025,212.457,118989
30-09-2025,211.773,118989
26-09-2025,210.143,118989
25-09-2025,213.332,118989
24-09-2025,214.521,118989
23-09-2025,215.912,118989
22-09-2025,216.406,118989
19-09-2025,218.769,118989
18-09-2025,218.333,118989
17-09-2025,217.233,118989
16-09-2025,217.027,118989
15-09-2025,215.615,118989
12-09-2025,215.358,118989
11-09-2025,215.465,118989
10-09-2025,215.014,118989
09-09-2025,212.848,118989
08-09-2025,211.986,118989
05-09-2025,211.634,118989
04-09-2025,211.92,118989
03-09-2025,213.155,118989
02-09-2025,212.253,118989
01-09-2025,211.766,118989
29-08-2025,209.335,118989
28-08-2025,210.116,118989
26-08-2025,211.708,118989
25-08-2025,213.977,118989
22-08-2025,214.055,118989
21-08-2025,214.333,118989
20-08-2025,214.837,118989
19-08-2025,213.959,118989
18-08-2025,212.99,118989
14-08-2025,210.619,118989
13-08-2025,210.62,118989
12-08-2025,209.873,118989
11-08-2025,209.808,118989
08-08-2025,208.66,118989
07-08-2025,210.196,118989
06-08-2025,209.07,118989
05-08-2025,211.303,118989
04-08-2025,212.022,118989
01-08-2025,210.433,118989
31-07-2025,213.543,118989
30-07-2025,214.733,118989
29-07-2025,214.366,118989
28-07-2025,213.152,118989
25-07-2025,214.192,118989
24-07-2025,216.847,118989
23-07-2025,217.842,118989
22-07-2025,217.502,118989
21-07-2025,218.204,118989
18-07-2025,217.979,118989
17-07-2025,218.853,118989
16-07-2025,218.734,118989
15-07-2025,218.593,118989
14-07-2025,216.835,118989
11-07-2025,215.905,118989
10-07-2025,216.612,118989
09-07-2025,217.447,118989
08-07-2025,217.446,118989
07-07-2025,217.42,118989
04-07-2025,217.529,118989
03-07-2025,216.556,118989
02-07-2025,216.834,118989
01-07-2025,216.604,118989
30-06-2025,216.474,118989
27-06-2025,214.426,118989
